name,company_name,m2,gross_max_power,lon,lat,Punktgeometrie (als WKT)
Tallinn (Sopruse puiestee),Telia Carrier,,,24.700063699999987,59.40136820000001,POINT (24.700063699999987 59.40136820000001)
Valga,Unclaimed,,,26.077050299999996,57.76628579999999,POINT (26.077050299999996 57.76628579999999)
Helsinki,Equinix,,,24.968603799999983,60.18510309999999,POINT (24.968603799999983 60.18510309999999)
Le Havre,WEBAXYS,,,0.3475669359679614,49.5203397282392,POINT (0.3475669359679614 49.5203397282392)
Hayes,Virtus Data Centres,6038,11400,-0.4027966999999535,51.4962513,POINT (-0.4027966999999535 51.4962513)
PeruRail,Belmond,,,-77.02636029999996,-12.1344436,POINT (-77.02636029999996 -12.1344436)
Presidential Office,President of the Republic of Peru,,,-77.0297865,-12.0448456,POINT (-77.0297865 -12.0448456)
Poznan,Unclaimed,,,16.92088530000001,52.4055464,POINT (16.92088530000001 52.4055464)
Kostomuksha,ACA International (Assured Communications Advisors International),,,30.632949253442348,64.60172445761317,POINT (30.632949253442348 64.60172445761317)
Moscow,Unclaimed,,,37.60174949999998,55.782797,POINT (37.60174949999998 55.782797)
Moscow,Linxdatacenter,3500,5000,37.5507341,55.8048977,POINT (37.5507341 55.8048977)
St. Petersburg,Linxdatacenter,6000,12000,30.284950999999978,60.031949,POINT (30.284950999999978 60.031949)
Warsaw (Jerozolimski),Linxdatacenter,1000,2500,20.999252299999966,52.2267588,POINT (20.999252299999966 52.2267588)
Paris 2,Interxion,2900,,2.370417399999951,48.9066173,POINT (2.370417399999951 48.9066173)
Vilnius,Telia Latvija,,,25.26307559999998,54.6776113,POINT (25.26307559999998 54.6776113)
Tver Life,Tver Life,,,35.93112389999999,56.854039,POINT (35.93112389999999 56.854039)
Sewden (Gjorwellsatan),Datacenter,,,18.01529830000004,59.3271811,POINT (18.01529830000004 59.3271811)
Stockholm,Unclaimed,,,18.059158199999956,59.3474489,POINT (18.059158199999956 59.3474489)
Dataplace Brabant,Dataplace,500,1600,5.037861300000031,51.6957149,POINT (5.037861300000031 51.6957149)
Dataplace Rotterdam,Dataplace,1800,,4.679143500000009,51.8459085,POINT (4.679143500000009 51.8459085)
Dataplace Utrecht,Dataplace,2100,,5.143773900000042,52.1232146,POINT (5.143773900000042 52.1232146)
Frankfurt (Hahnstrasse),T-Systems International GmbH,,,8.635082000000011,50.082949,POINT (8.635082000000011 50.082949)
Biere (Bördeland),T-Systems International GmbH,,,11.65387110000006,51.9814359,POINT (11.65387110000006 51.9814359)
Huntsville,Meta,,,-86.634656,34.8394839,POINT (-86.634656 34.8394839)
